sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score
oversampling,select_univariate,no_norm,pca,k_neighbours,0.46134637861719,0.452249637155298,0.456752719430627
oversampling,select_univariate,no_norm,umap,k_neighbours,0.50682928912084,0.506349782293179,0.506589422239013
oversampling,select_univariate,min_max_norm,no_dim_reduction,k_neighbours,0.6045262350009,0.594545234639574,0.599494194190368
oversampling,select_univariate,min_max_norm,pca,k_neighbours,0.4906050969724,0.489187227866473,0.489895136511828
oversampling,select_univariate,min_max_norm,umap,k_neighbours,0.542948858091177,0.543589743589744,0.543269111830046
oversampling,select_univariate,robust_scaler,no_dim_reduction,k_neighbours,0.598615842840152,0.595246734397678,0.596926534767042
oversampling,select_univariate,robust_scaler,pca,k_neighbours,0.417509601507067,0.414320270924045,0.415908822086991
oversampling,select_univariate,robust_scaler,umap,k_neighbours,0.512574525979795,0.510849056603774,0.511710336740307
oversampling,select_univariate,standard_scaler,no_dim_reduction,k_neighbours,0.621555110123883,0.61118771165941,0.616327815849346
oversampling,select_univariate,standard_scaler,pca,k_neighbours,0.530667431594429,0.528072085147557,0.529366577313201
oversampling,select_univariate,standard_scaler,umap,k_neighbours,0.537083778006323,0.538933236574746,0.53800691786539
oversampling,select_univariate,log2_transform,no_dim_reduction,k_neighbours,0.672943874142616,0.656603773584906,0.664673414191835
oversampling,select_univariate,log2_transform,pca,k_neighbours,0.602845782478762,0.590106434446057,0.596408087721094
oversampling,select_univariate,log2_transform,umap,k_neighbours,0.572443679893918,0.567743105950653,0.57008370354697
oversampling,select_l1,no_norm,no_dim_reduction,k_neighbours,0.739236971041523,0.699987905176585,0.719077257958708
oversampling,select_l1,no_norm,pca,k_neighbours,0.691940579931307,0.678991291727141,0.68540477886422
oversampling,select_l1,no_norm,umap,k_neighbours,0.607788908688974,0.620198355104015,0.613930929959403
oversampling,select_l1,min_max_norm,no_dim_reduction,k_neighbours,0.726154791560539,0.671323173681664,0.69766329255872
oversampling,select_l1,min_max_norm,pca,k_neighbours,0.72761360416131,0.693045476536043,0.709908976589308
oversampling,select_l1,min_max_norm,umap,k_neighbours,0.61766981616804,0.627044025157233,0.62232162106555
oversampling,select_l1,robust_scaler,no_dim_reduction,k_neighbours,0.704914095980859,0.664925012094823,0.684335862558814
oversampling,select_l1,robust_scaler,pca,k_neighbours,0.536097228303105,0.530817610062893,0.533444356111908
oversampling,select_l1,robust_scaler,umap,k_neighbours,0.560590593809327,0.561429608127721,0.56100978727318
