sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score,status
oversampling,var_threshold,robust_scaler,pca,nn,0.33653846153846156,0.33653846153846156,0.33653846153846156,Pass
oversampling,var_threshold,robust_scaler,umap,nn,0.4291482933202679,0.4291482933202679,0.4291482933202679,Pass
oversampling,var_threshold,standard_scaler,pca,nn,0.8436305732484076,0.8436305732484076,0.8436305732484076,Pass
oversampling,var_threshold,standard_scaler,umap,nn,0.425281724644782,0.425281724644782,0.425281724644782,Pass
oversampling,var_threshold,log2_transform,pca,nn,0.8436836518046709,0.8436836518046709,0.843683651804671,Pass
oversampling,var_threshold,log2_transform,umap,nn,0.42404866895312754,0.42404866895312754,0.42404866895312754,Pass
oversampling,select_univariate,no_norm,pca,nn,0.383782459578638,0.383782459578638,0.383782459578638,Pass
oversampling,select_univariate,no_norm,umap,nn,0.3972113343132451,0.3972113343132451,0.3972113343132451,Pass
oversampling,select_univariate,min_max_norm,pca,nn,0.3863383962110077,0.3863383962110077,0.3863383962110077,Pass
oversampling,select_univariate,min_max_norm,umap,nn,0.39725624693777556,0.39725624693777556,0.39725624693777556,Pass
oversampling,select_univariate,robust_scaler,pca,nn,0.34035195165768417,0.34035195165768417,0.34035195165768417,Pass
oversampling,select_univariate,robust_scaler,umap,nn,0.3908378245957864,0.3908378245957864,0.39083782459578637,Pass
oversampling,select_univariate,standard_scaler,pca,nn,0.41893271272252164,0.41893271272252164,0.41893271272252164,Pass
oversampling,select_univariate,standard_scaler,umap,nn,0.39341009309162184,0.39341009309162184,0.39341009309162184,Pass
oversampling,select_univariate,log2_transform,pca,nn,0.5454597419565571,0.5454597419565571,0.5454597419565571,Pass
oversampling,select_univariate,log2_transform,umap,nn,0.4393720398497468,0.4393720398497468,0.4393720398497468,Pass
oversampling,select_l1,no_norm,pca,nn,0.5159848113669769,0.5159848113669769,0.5159848113669769,Pass
oversampling,select_l1,no_norm,umap,nn,0.3659072350155153,0.3659072350155153,0.3659072350155153,Pass
oversampling,select_l1,min_max_norm,pca,nn,0.8736485382982199,0.8736485382982199,0.8736485382982199,Pass
oversampling,select_l1,min_max_norm,umap,nn,0.46745059611301654,0.46745059611301654,0.4674505961130165,Pass
oversampling,select_l1,robust_scaler,pca,nn,0.3589049485546301,0.3589049485546301,0.35890494855463007,Pass
oversampling,select_l1,robust_scaler,umap,nn,0.40558141433937617,0.40558141433937617,0.40558141433937617,Pass
oversampling,select_l1,standard_scaler,pca,nn,0.872370569982035,0.872370569982035,0.872370569982035,Pass
oversampling,select_l1,standard_scaler,umap,nn,0.38640780663073654,0.38640780663073654,0.3864078066307365,Pass
oversampling,select_l1,log2_transform,pca,nn,0.8290339702760084,0.8290339702760084,0.8290339702760084,Pass
oversampling,select_l1,log2_transform,umap,nn,0.4292054548423976,0.4292054548423976,0.4292054548423976,Pass
undersampling,no_selection,no_norm,pca,nn,0.376,0.376,0.376,Pass
undersampling,no_selection,no_norm,umap,nn,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,no_selection,min_max_norm,pca,nn,0.40240816326530615,0.40240816326530615,0.40240816326530615,Pass
undersampling,no_selection,min_max_norm,umap,nn,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,no_selection,robust_scaler,pca,nn,0.4166530612244898,0.4166530612244898,0.4166530612244898,Pass
undersampling,no_selection,robust_scaler,umap,nn,0.4390612244897959,0.4390612244897959,0.4390612244897959,Pass
undersampling,no_selection,standard_scaler,pca,nn,0.4227755102040816,0.4227755102040816,0.4227755102040816,Pass
undersampling,no_selection,standard_scaler,umap,nn,0.42889795918367346,0.42889795918367346,0.4288979591836735,Pass
undersampling,no_selection,log2_transform,pca,nn,0.4146122448979591,0.4146122448979591,0.4146122448979591,Pass
undersampling,no_selection,log2_transform,umap,nn,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,var_threshold,no_norm,pca,nn,0.3617551020408163,0.3617551020408163,0.3617551020408163,Pass
undersampling,var_threshold,no_norm,umap,nn,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,var_threshold,min_max_norm,pca,nn,0.3943673469387755,0.3943673469387755,0.3943673469387755,Pass
undersampling,var_threshold,min_max_norm,umap,nn,0.44518367346938775,0.44518367346938775,0.44518367346938775,Pass
undersampling,var_threshold,robust_scaler,pca,nn,0.4126122448979593,0.4126122448979593,0.4126122448979593,Pass
undersampling,var_threshold,robust_scaler,umap,nn,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,var_threshold,standard_scaler,pca,nn,0.3964489795918367,0.3964489795918367,0.3964489795918367,Pass
undersampling,var_threshold,standard_scaler,umap,nn,0.43702040816326526,0.43702040816326526,0.43702040816326526,Pass
undersampling,var_threshold,log2_transform,pca,nn,0.414734693877551,0.414734693877551,0.4147346938775511,Pass
undersampling,var_threshold,log2_transform,umap,nn,0.4248571428571428,0.4248571428571428,0.4248571428571428,Pass
undersampling,select_univariate,no_norm,pca,nn,0.40240816326530615,0.40240816326530615,0.40240816326530615,Pass
undersampling,select_univariate,no_norm,umap,nn,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,select_univariate,min_max_norm,pca,nn,0.43093877551020404,0.43093877551020404,0.43093877551020404,Pass
undersampling,select_univariate,min_max_norm,umap,nn,0.4126938775510204,0.4126938775510204,0.4126938775510204,Pass
undersampling,select_univariate,robust_scaler,pca,nn,0.4268979591836735,0.4268979591836735,0.4268979591836735,Pass
undersampling,select_univariate,robust_scaler,umap,nn,0.42285714285714276,0.42285714285714276,0.42285714285714276,Pass
undersampling,select_univariate,standard_scaler,pca,nn,0.43893877551020405,0.43893877551020405,0.43893877551020405,Pass
undersampling,select_univariate,standard_scaler,umap,nn,0.4104897959183673,0.4104897959183673,0.4104897959183673,Pass
undersampling,select_univariate,log2_transform,pca,nn,0.467469387755102,0.467469387755102,0.467469387755102,Pass
undersampling,select_univariate,log2_transform,umap,nn,0.44110204081632653,0.44110204081632653,0.4411020408163265,Pass
undersampling,select_l1,no_norm,pca,nn,0.39216326530612244,0.39216326530612244,0.39216326530612244,Pass
undersampling,select_l1,no_norm,umap,nn,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,select_l1,min_max_norm,pca,nn,0.4960408163265305,0.4960408163265305,0.4960408163265305,Pass
undersampling,select_l1,min_max_norm,umap,nn,0.4451428571428571,0.4451428571428571,0.4451428571428571,Pass
undersampling,select_l1,robust_scaler,pca,nn,0.41669387755102044,0.41669387755102044,0.41669387755102044,Pass
undersampling,select_l1,robust_scaler,umap,nn,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,select_l1,standard_scaler,pca,nn,0.5002040816326531,0.5002040816326531,0.5002040816326531,Pass
undersampling,select_l1,standard_scaler,umap,nn,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,select_l1,log2_transform,pca,nn,0.41689795918367345,0.41689795918367345,0.41689795918367345,Pass
undersampling,select_l1,log2_transform,umap,nn,0.41869387755102033,0.41869387755102033,0.41869387755102033,Pass
