sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score,status
no_sampling,select_l1,robust_scaler,umap,bayesian,0.26651053864168617,0.33426526504137777,0.2644370122630992,Pass
no_sampling,select_l1,standard_scaler,no_dim_reduction,bayesian,0.3688512838038224,0.37130234115311955,0.35911539347851135,Pass
no_sampling,select_l1,standard_scaler,pca,bayesian,0.33795389989252267,0.3367558085720837,0.3154932178521448,Pass
no_sampling,select_l1,standard_scaler,umap,bayesian,0.20061022120518687,0.3333333333333333,0.25047619047619046,Pass
no_sampling,select_l1,log2_transform,no_dim_reduction,bayesian,0.3944122972004709,0.4009194825071143,0.3862946794453644,Pass
no_sampling,select_l1,log2_transform,pca,bayesian,0.39166666666666666,0.38582887061130505,0.3811048532375183,Pass
no_sampling,select_l1,log2_transform,umap,bayesian,0.3068586698337292,0.34018461391300187,0.2768350749368868,Pass
oversampling,no_selection,no_norm,no_dim_reduction,bayesian,0.6960966016005803,0.596589240158794,0.5868881496566462,Pass
oversampling,no_selection,no_norm,pca,bayesian,0.4168363399740138,0.3932486667394804,0.33981835016967005,Pass
oversampling,no_selection,no_norm,umap,bayesian,0.3350566893424036,0.3404955011254223,0.3153386760962967,Pass
oversampling,no_selection,min_max_norm,no_dim_reduction,bayesian,0.8798609733316303,0.8778314122146144,0.8784429118248207,Pass
oversampling,no_selection,min_max_norm,pca,bayesian,0.537953795379538,0.5223368850665439,0.5087214629100815,Pass
oversampling,no_selection,min_max_norm,umap,bayesian,0.4098894546121738,0.4048598279569408,0.3837794139115441,Pass
oversampling,no_selection,robust_scaler,no_dim_reduction,bayesian,0.6681627496025336,0.5783143473432187,0.5615625376188756,Pass
oversampling,no_selection,robust_scaler,pca,bayesian,0.35433333333333333,0.33211704392806757,0.19123678645880893,Pass
oversampling,no_selection,robust_scaler,umap,bayesian,0.421365078118279,0.40415841413216747,0.3818056886588892,Pass
oversampling,no_selection,standard_scaler,no_dim_reduction,bayesian,0.8853097866968284,0.8832616268311807,0.8840341476006227,Pass
oversampling,no_selection,standard_scaler,pca,bayesian,0.5449935707216585,0.5316926225062707,0.5221501214844423,Pass
oversampling,no_selection,standard_scaler,umap,bayesian,0.4820628835095875,0.4727893247578287,0.45248136809153267,Pass
oversampling,no_selection,log2_transform,no_dim_reduction,bayesian,0.8888228154599626,0.8853516433568926,0.8861143900506373,Pass
oversampling,no_selection,log2_transform,pca,bayesian,0.5663846122264647,0.5662213394496859,0.5570279347500875,Pass
oversampling,no_selection,log2_transform,umap,bayesian,0.4341158216705621,0.41906454636113427,0.42102039469853375,Pass
oversampling,var_threshold,no_norm,no_dim_reduction,bayesian,0.7207572785386841,0.6640297215100365,0.6667955939979443,Pass
oversampling,var_threshold,no_norm,pca,bayesian,0.4168363399740138,0.3932486667394804,0.33981835016967005,Pass
oversampling,var_threshold,no_norm,umap,bayesian,0.4005534918575236,0.38169819613389167,0.37421620229990277,Pass
oversampling,var_threshold,min_max_norm,no_dim_reduction,bayesian,0.7298748460650678,0.6888898647428832,0.6916653495600865,Pass
oversampling,var_threshold,min_max_norm,pca,bayesian,0.49831166880818634,0.4972060174159912,0.47704881854853265,Pass
oversampling,var_threshold,min_max_norm,umap,bayesian,0.3740657744579314,0.37104663718836944,0.35365503149008304,Pass
